TenantId,AccountDomain,AccountName,AccountObjectId,AccountSid,AccountUpn,ActionType,AdditionalFields,AppGuardContainerId,DeviceId,DeviceName,FileName,FolderPath,FileSize,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountObjectId,InitiatingProcessAccountSid,InitiatingProcessAccountUpn,InitiatingProcessCommandLine,InitiatingProcessFileName,InitiatingProcessFolderPath,InitiatingProcessId,InitiatingProcessIntegrityLevel,InitiatingProcessLogonId,InitiatingProcessMD5,InitiatingProcessParentFileName,InitiatingProcessParentId,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessTokenElevation,InitiatingProcessFileSize,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoFileDescription,LogonId,MD5,MachineGroup,ProcessCommandLine,ProcessCreationTime [UTC],ProcessId,ProcessIntegrityLevel,ProcessTokenElevation,ProcessVersionInfoCompanyName,ProcessVersionInfoProductName,ProcessVersionInfoProductVersion,ProcessVersionInfoInternalFileName,ProcessVersionInfoOriginalFileName,ProcessVersionInfoFileDescription,InitiatingProcessSignerType,InitiatingProcessSignatureStatus,ReportId,SHA1,SHA256,TimeGenerated [UTC],Timestamp [UTC],InitiatingProcessParentCreationTime [UTC],InitiatingProcessCreationTime [UTC],CreatedProcessSessionId,IsProcessRemoteSession,ProcessRemoteSessionDeviceName,ProcessRemoteSessionIP,InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessRemoteSessionDeviceName,InitiatingProcessRemoteSessionIP,InitiatingProcessUniqueId,ProcessUniqueId,SourceSystem,Type
19864e56-23ed-497a-b56f-d7aa24c8a6f2,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,ProcessCreated,"{""DesktopName"":""Winsta0\\Default""}",,c29a38f40050af6141fd214da50e5be7,LAP-537.contoso.com,git.exe,C:\Users\awhite\AppData\Local\Programs\Git\mingw64\bin\git.exe,4149624,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,git.exe show --textconv :simulations/run_mitre_simulation.py,git.exe,c:\users\awhite\appdata\local\programs\git\cmd\git.exe,28412,High,3475594,bb5f42e0fcb08dd66b713a9ac00c784a,Code.exe,25156,219bce822f4831e27101289ada4d92772f24d9ab,f668c4ba88417ecdf29470b3af92d576a701cc0f76dd083b13d032f4b3f1f247,TokenElevationTypeDefault,46968,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,3475594,2374d3e6d637ff4e7b8cac9cf5da0bfc,UnassignedGroup,git.exe show --textconv :simulations/run_mitre_simulation.py,"10/15/2025, 4:40:28.335 PM",16680,High,TokenElevationTypeDefault,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,Unknown,Unsigned,31008,e7c5361bc931e320df0feb775f6b939301333274,51c6331aab2426ae2df187975590587b5a10042e3423f4bc0fdcb54aeb3efab7,"10/15/2025, 4:40:28.368 PM","10/15/2025, 4:40:28.368 PM","10/15/2025, 4:31:00.022 PM","10/15/2025, 4:40:28.029 PM",1,false,,,1,false,,,39969446692920957,39969446692920961,,DeviceProcessEvents
19864e56-23ed-497a-b56f-d7aa24c8a6f2,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,ProcessCreated,"{""DesktopName"":""Winsta0\\Default""}",,c29a38f40050af6141fd214da50e5be7,LAP-537.contoso.com,git.exe,C:\Users\awhite\AppData\Local\Programs\Git\mingw64\bin\git.exe,4149624,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,git.exe config --get commit.template,git.exe,c:\users\awhite\appdata\local\programs\git\cmd\git.exe,23832,High,3475594,bb5f42e0fcb08dd66b713a9ac00c784a,Code.exe,25156,219bce822f4831e27101289ada4d92772f24d9ab,f668c4ba88417ecdf29470b3af92d576a701cc0f76dd083b13d032f4b3f1f247,TokenElevationTypeDefault,46968,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,3475594,2374d3e6d637ff4e7b8cac9cf5da0bfc,UnassignedGroup,git.exe config --get commit.template,"10/15/2025, 4:40:52.968 PM",19592,High,TokenElevationTypeDefault,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,Unknown,Unsigned,31015,e7c5361bc931e320df0feb775f6b939301333274,51c6331aab2426ae2df187975590587b5a10042e3423f4bc0fdcb54aeb3efab7,"10/15/2025, 4:40:52.991 PM","10/15/2025, 4:40:52.991 PM","10/15/2025, 4:31:00.022 PM","10/15/2025, 4:40:52.829 PM",1,false,,,1,false,,,39969446692920990,39969446692920994,,DeviceProcessEvents
19864e56-23ed-497a-b56f-d7aa24c8a6f2,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,ProcessCreated,"{""DesktopName"":""Winsta0\\Default""}",,c29a38f40050af6141fd214da50e5be7,LAP-537.contoso.com,git.exe,C:\Users\awhite\AppData\Local\Programs\Git\mingw64\bin\git.exe,4149624,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,git.exe ls-files --stage -- simulations/run_mitre_simulation.py,git.exe,c:\users\awhite\appdata\local\programs\git\cmd\git.exe,27064,High,3475594,bb5f42e0fcb08dd66b713a9ac00c784a,Code.exe,25156,219bce822f4831e27101289ada4d92772f24d9ab,f668c4ba88417ecdf29470b3af92d576a701cc0f76dd083b13d032f4b3f1f247,TokenElevationTypeDefault,46968,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,3475594,2374d3e6d637ff4e7b8cac9cf5da0bfc,UnassignedGroup,git.exe ls-files --stage -- simulations/run_mitre_simulation.py,"10/15/2025, 4:40:28.375 PM",26172,High,TokenElevationTypeDefault,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,Unknown,Unsigned,31009,e7c5361bc931e320df0feb775f6b939301333274,51c6331aab2426ae2df187975590587b5a10042e3423f4bc0fdcb54aeb3efab7,"10/15/2025, 4:40:28.416 PM","10/15/2025, 4:40:28.416 PM","10/15/2025, 4:31:00.022 PM","10/15/2025, 4:40:28.072 PM",1,false,,,1,false,,,39969446692920958,39969446692920962,,DeviceProcessEvents
19864e56-23ed-497a-b56f-d7aa24c8a6f2,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,ProcessCreated,"{""DesktopName"":""Winsta0\\Default""}",,c29a38f40050af6141fd214da50e5be7,LAP-537.contoso.com,git.exe,C:\Users\awhite\AppData\Local\Programs\Git\mingw64\bin\git.exe,4149624,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,git.exe cat-file -s abe7a7549261f2c05fdad457a84bb69a37892be5,git.exe,c:\users\awhite\appdata\local\programs\git\cmd\git.exe,8980,High,3475594,bb5f42e0fcb08dd66b713a9ac00c784a,Code.exe,25156,219bce822f4831e27101289ada4d92772f24d9ab,f668c4ba88417ecdf29470b3af92d576a701cc0f76dd083b13d032f4b3f1f247,TokenElevationTypeDefault,46968,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,3475594,2374d3e6d637ff4e7b8cac9cf5da0bfc,UnassignedGroup,git.exe cat-file -s abe7a7549261f2c05fdad457a84bb69a37892be5,"10/15/2025, 4:40:28.835 PM",28712,High,TokenElevationTypeDefault,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,Unknown,Unsigned,31011,e7c5361bc931e320df0feb775f6b939301333274,51c6331aab2426ae2df187975590587b5a10042e3423f4bc0fdcb54aeb3efab7,"10/15/2025, 4:40:28.860 PM","10/15/2025, 4:40:28.860 PM","10/15/2025, 4:31:00.022 PM","10/15/2025, 4:40:28.668 PM",1,false,,,1,false,,,39969446692920965,39969446692920967,,DeviceProcessEvents
19864e56-23ed-497a-b56f-d7aa24c8a6f2,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,ProcessCreated,"{""DesktopName"":""Winsta0\\Default""}",,c29a38f40050af6141fd214da50e5be7,LAP-537.contoso.com,git.exe,C:\Users\awhite\AppData\Local\Programs\Git\mingw64\bin\git.exe,4149624,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,git.exe for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main,git.exe,c:\users\awhite\appdata\local\programs\git\cmd\git.exe,21556,High,3475594,bb5f42e0fcb08dd66b713a9ac00c784a,Code.exe,25156,219bce822f4831e27101289ada4d92772f24d9ab,f668c4ba88417ecdf29470b3af92d576a701cc0f76dd083b13d032f4b3f1f247,TokenElevationTypeDefault,46968,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,3475594,2374d3e6d637ff4e7b8cac9cf5da0bfc,UnassignedGroup,git.exe for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main,"10/15/2025, 4:40:52.991 PM",29312,High,TokenElevationTypeDefault,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,Unknown,Unsigned,31016,e7c5361bc931e320df0feb775f6b939301333274,51c6331aab2426ae2df187975590587b5a10042e3423f4bc0fdcb54aeb3efab7,"10/15/2025, 4:40:53.012 PM","10/15/2025, 4:40:53.012 PM","10/15/2025, 4:31:00.022 PM","10/15/2025, 4:40:52.860 PM",1,false,,,1,false,,,39969446692920991,39969446692920995,,DeviceProcessEvents
19864e56-23ed-497a-b56f-d7aa24c8a6f2,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,ProcessCreated,"{""DesktopName"":""Winsta0\\Default""}",,c29a38f40050af6141fd214da50e5be7,LAP-537.contoso.com,git.exe,C:\Users\awhite\AppData\Local\Programs\Git\mingw64\bin\git.exe,4149624,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,git.exe status -z -uall,git.exe,c:\users\awhite\appdata\local\programs\git\cmd\git.exe,25612,High,3475594,bb5f42e0fcb08dd66b713a9ac00c784a,Code.exe,25156,219bce822f4831e27101289ada4d92772f24d9ab,f668c4ba88417ecdf29470b3af92d576a701cc0f76dd083b13d032f4b3f1f247,TokenElevationTypeDefault,46968,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,3475594,2374d3e6d637ff4e7b8cac9cf5da0bfc,UnassignedGroup,git.exe status -z -uall,"10/15/2025, 4:40:53.910 PM",24904,High,TokenElevationTypeDefault,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,Unknown,Unsigned,31020,e7c5361bc931e320df0feb775f6b939301333274,51c6331aab2426ae2df187975590587b5a10042e3423f4bc0fdcb54aeb3efab7,"10/15/2025, 4:40:53.941 PM","10/15/2025, 4:40:53.941 PM","10/15/2025, 4:31:00.022 PM","10/15/2025, 4:40:53.745 PM",1,false,,,1,false,,,39969446692921001,39969446692921006,,DeviceProcessEvents
19864e56-23ed-497a-b56f-d7aa24c8a6f2,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,ProcessCreated,"{""DesktopName"":""Winsta0\\Default""}",,c29a38f40050af6141fd214da50e5be7,LAP-537.contoso.com,python.exe,C:\Code\python\watchtower\.venv\Scripts\python.exe,105840,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,"""python.exe""  ""C:\Users\awhite\AppData\Local\Programs\Python\Python313\Scripts\poetry.exe"" run python .\simulations\run_mitre_simulation.py --attack-chain",python.exe,c:\users\awhite\appdata\local\programs\python\python313\python.exe,27744,High,3475594,a6283a38f97fa0bfc8243073d0f65287,poetry.exe,29284,344bf691739f50e41065958b2e8db61a16557f61,03573716a7fcbd8b7fed8fe0163bbfbd3a852546920d6a666123f307c8dac7d9,TokenElevationTypeDefault,105840,Python Software Foundation,Python,3.13.1,Python Console,python.exe,Python,3475594,a6283a38f97fa0bfc8243073d0f65287,UnassignedGroup,"python.exe -I -W ignore -c ""import sys

if hasattr(sys, \""real_prefix\""):
    print(sys.real_prefix)
elif hasattr(sys, \""base_prefix\""):
    print(sys.base_prefix)
else:
    print(sys.prefix)
""","10/15/2025, 4:41:02.038 PM",16164,High,TokenElevationTypeDefault,Python Software Foundation,Python,3.13.1,Python Console,python.exe,Python,Unknown,Valid,31029,344bf691739f50e41065958b2e8db61a16557f61,03573716a7fcbd8b7fed8fe0163bbfbd3a852546920d6a666123f307c8dac7d9,"10/15/2025, 4:41:02.065 PM","10/15/2025, 4:41:02.065 PM","10/15/2025, 4:41:00.533 PM","10/15/2025, 4:41:00.599 PM",1,false,,,1,false,,,39969446692921014,39969446692921016,,DeviceProcessEvents
19864e56-23ed-497a-b56f-d7aa24c8a6f2,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,ProcessCreated,"{""DesktopName"":""Winsta0\\Default""}",,c29a38f40050af6141fd214da50e5be7,LAP-537.contoso.com,python.exe,C:\Users\awhite\AppData\Local\Programs\Python\Python313\python.exe,105840,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,"""poetry.exe"" run python .\simulations\run_mitre_simulation.py --attack-chain",poetry.exe,c:\users\awhite\appdata\local\programs\python\python313\scripts\poetry.exe,29284,High,3475594,944308c438ceafb48a37d32fdcbdb4e3,pwsh.exe,28480,6839c866f99269804368e4bf45db9a5b4907a0db,84394238900dc43bde82f82e84604b3eebb69100d24c0460eeb783510c7d486e,TokenElevationTypeDefault,108429,,,,,,,3475594,a6283a38f97fa0bfc8243073d0f65287,UnassignedGroup,"""python.exe""  ""C:\Users\awhite\AppData\Local\Programs\Python\Python313\Scripts\poetry.exe"" run python .\simulations\run_mitre_simulation.py --attack-chain","10/15/2025, 4:41:00.599 PM",27744,High,TokenElevationTypeDefault,Python Software Foundation,Python,3.13.1,Python Console,python.exe,Python,Unknown,Unsigned,31025,344bf691739f50e41065958b2e8db61a16557f61,03573716a7fcbd8b7fed8fe0163bbfbd3a852546920d6a666123f307c8dac7d9,"10/15/2025, 4:41:00.628 PM","10/15/2025, 4:41:00.628 PM","10/15/2025, 4:31:23.811 PM","10/15/2025, 4:41:00.533 PM",1,false,,,1,false,,,39969446692921012,39969446692921014,,DeviceProcessEvents
19864e56-23ed-497a-b56f-d7aa24c8a6f2,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,ProcessCreated,"{""DesktopName"":""Winsta0\\Default""}",,c29a38f40050af6141fd214da50e5be7,LAP-537.contoso.com,poetry.exe,C:\Users\awhite\AppData\Local\Programs\Python\Python313\Scripts\poetry.exe,108429,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,"""pwsh.exe"" -noexit -command ""try { . \""c:\Users\awhite\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""",pwsh.exe,c:\program files\powershell\7\pwsh.exe,28480,High,3475594,8f140ee92d2c06faf3cd09ca73ac1e9c,Code.exe,25092,710b96c372d9e1ef06326f27cb1befe34183ce4f,64ee89b2d95a73f520362be12915f72007f7c7e63e868c233c7aad1b74558b22,TokenElevationTypeDefault,294432,Microsoft Corporation,PowerShell,7.5.3 SHA: bcd6bc473f257c09f1d9c226b83a433c83af174b+bcd6bc473f257c09f1d9c226b83a433c83af174b,pwsh.dll,pwsh.dll,PowerShell 7,3475594,944308c438ceafb48a37d32fdcbdb4e3,UnassignedGroup,"""poetry.exe"" run python .\simulations\run_mitre_simulation.py --attack-chain","10/15/2025, 4:41:00.533 PM",29284,High,TokenElevationTypeDefault,,,,,,,OsVendorApplication,Valid,31024,6839c866f99269804368e4bf45db9a5b4907a0db,84394238900dc43bde82f82e84604b3eebb69100d24c0460eeb783510c7d486e,"10/15/2025, 4:41:00.566 PM","10/15/2025, 4:41:00.566 PM","10/15/2025, 4:31:07.954 PM","10/15/2025, 4:31:23.811 PM",1,false,,,1,false,,,39969446692920202,39969446692921012,,DeviceProcessEvents
19864e56-23ed-497a-b56f-d7aa24c8a6f2,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,ProcessCreated,"{""DesktopName"":""Winsta0\\Default""}",,c29a38f40050af6141fd214da50e5be7,LAP-537.contoso.com,git.exe,C:\Users\awhite\AppData\Local\Programs\Git\mingw64\bin\git.exe,4149624,na,awhite,55ce7365-20e5-fa79-fb11-9cf90edd996f,S-1-5-21-4636785607-2024467317-1000000000-585607,awhite@tailspin.com,git.exe for-each-ref --sort -committerdate --format %(refname)%00%(objectname)%00%(*objectname),git.exe,c:\users\awhite\appdata\local\programs\git\cmd\git.exe,30468,High,3475594,bb5f42e0fcb08dd66b713a9ac00c784a,Code.exe,25156,219bce822f4831e27101289ada4d92772f24d9ab,f668c4ba88417ecdf29470b3af92d576a701cc0f76dd083b13d032f4b3f1f247,TokenElevationTypeDefault,46968,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,3475594,2374d3e6d637ff4e7b8cac9cf5da0bfc,UnassignedGroup,git.exe for-each-ref --sort -committerdate --format %(refname)%00%(objectname)%00%(*objectname),"10/15/2025, 4:40:53.947 PM",30392,High,TokenElevationTypeDefault,The Git Development Community,Git,2.47.1.windows.1,git,git.exe,Git for Windows,Unknown,Unsigned,31021,e7c5361bc931e320df0feb775f6b939301333274,51c6331aab2426ae2df187975590587b5a10042e3423f4bc0fdcb54aeb3efab7,"10/15/2025, 4:40:53.973 PM","10/15/2025, 4:40:53.973 PM","10/15/2025, 4:31:00.022 PM","10/15/2025, 4:40:53.775 PM",1,false,,,1,false,,,39969446692921003,39969446692921007,,DeviceProcessEvents
